                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.64609,                0.82359,                0.90025,                0.81145,                0.70936,                0.80129,                0.65153,                0.64448,                0.62944,                0.87985,             0.00010681,             0.00010681,             0.00010681
                     37,                0.62738,                0.77752,                0.88554,                0.77715,                0.75179,                0.79657,                0.64205,                0.63477,                0.62387,                0.87782,             0.00010521,             0.00010521,             0.00010521
                     38,                0.62759,                0.78155,                0.89263,                0.79746,                0.73993,                0.79554,                0.64397,                0.63229,                0.60506,                0.88013,             0.00010362,             0.00010362,             0.00010362
                     39,                0.61282,                0.74251,                0.88453,                0.77654,                0.75041,                0.79968,                0.65362,                 0.6328,                0.60041,                0.87981,             0.00010203,             0.00010203,             0.00010203
                     40,                0.62493,                0.75791,                0.88925,                0.76835,                0.77427,                 0.8082,                0.65502,                0.63791,                0.61347,                0.88178,             0.00010043,             0.00010043,             0.00010043
                     41,                 0.6225,                0.73162,                0.88347,                0.81833,                0.73901,                0.80542,                 0.6584,                 0.6256,                0.57511,                0.87351,             9.8838e-05,             9.8838e-05,             9.8838e-05
                     42,                  0.626,                0.72242,                0.88613,                0.80155,                0.76316,                 0.8117,                0.65817,                0.63855,                0.59569,                0.88249,             9.7244e-05,             9.7244e-05,             9.7244e-05
                     43,                0.61396,                0.71602,                0.88643,                0.82454,                0.76491,                0.81689,                0.65767,                0.64041,                0.58875,                0.87902,              9.565e-05,              9.565e-05,              9.565e-05
                     44,                0.62125,                0.70061,                0.89832,                0.80986,                 0.7753,                0.81499,                0.66355,                0.63244,                0.58309,                0.87595,             9.4056e-05,             9.4056e-05,             9.4056e-05
                     45,                0.61336,                0.69022,                0.87935,                0.81361,                0.76103,                0.80677,                0.65607,                0.63292,                0.57906,                0.87645,             9.2462e-05,             9.2462e-05,             9.2462e-05
                     46,                0.60429,                0.68064,                0.88483,                0.81413,                0.76827,                0.80759,                 0.6525,                0.63944,                0.57734,                0.88119,             9.0868e-05,             9.0868e-05,             9.0868e-05
                     47,                 0.6104,                0.68841,                0.88169,                0.77773,                0.78525,                0.80127,                0.64937,                0.63768,                0.59195,                0.87671,             8.9275e-05,             8.9275e-05,             8.9275e-05
                     48,                 0.6038,                0.67733,                0.88085,                0.81412,                0.76343,                0.82556,                0.67277,                0.62342,                0.55615,                 0.8747,             8.7681e-05,             8.7681e-05,             8.7681e-05
                     49,                0.59636,                0.66293,                 0.8843,                0.82561,                0.76765,                0.81427,                0.66531,                0.63054,                0.57422,                0.87784,             8.6087e-05,             8.6087e-05,             8.6087e-05
                     50,                0.61862,                0.65551,                0.88246,                0.78996,                0.79655,                0.82377,                 0.6703,                 0.6243,                0.56165,                0.87467,             8.4493e-05,             8.4493e-05,             8.4493e-05
                     51,                0.60633,                0.65578,                0.88567,                 0.7967,                0.77334,                0.80514,                 0.6591,                0.63268,                0.55515,                0.87957,             8.2899e-05,             8.2899e-05,             8.2899e-05
                     52,                0.60431,                0.65282,                0.88215,                 0.8453,                0.77502,                 0.8165,                0.66296,                 0.6296,                0.55115,                0.87825,             8.1305e-05,             8.1305e-05,             8.1305e-05
                     53,                0.61668,                0.64121,                0.88287,                 0.8418,                0.76094,                0.81409,                0.66459,                0.63046,                0.55995,                0.87608,             7.9711e-05,             7.9711e-05,             7.9711e-05
                     54,                0.59587,                0.63588,                0.88521,                0.82398,                0.78425,                 0.8158,                0.66442,                0.62862,                0.54372,                0.87561,             7.8117e-05,             7.8117e-05,             7.8117e-05
